date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count
20110812,16.742539,0,2.621438,115.235416,21.404846,20,0,3,133,26,1000
20110813,25.420481,3.578471,7.082388,111.611397,16.262459,31,4,8,129,19,1000
20110814,22.368562,6.108977,3.390558,122.466719,19.681034,27,7,4,140,23,1000
20110815,27.285127,4.219017,4.360988,119.309892,23.705177,33,5,5,139,28,1000
20110816,35.647926,2.555787,5.863146,121.101126,24.628067,42,3,7,141,29,1000
20110817,28.88626,3.699744,4.659135,108.811477,18.301979,35,4,5,126,21,1000
20110818,19.596705,7.000423,8.030588,108.282239,23.817924,23,8,9,126,28,1000
20110819,23.984926,4.371777,2.619748,109.008729,17.944519,28,5,3,126,21,1000
20110820,36.360085,1.602685,5.443325,124.867503,14.895684,44,2,6,146,18,1000
20110821,26.149827,5.191523,3.579641,132.202943,18.358405,31,6,4,152,22,1000
20110822,18.41769,2.39528,0.931034,101.139219,14.847213,21,3,1,117,18,1000
20110823,30.667691,5.366554,13.391494,100.996281,24.783084,36,6,15,119,29,1000
20110824,19.998188,3.425373,7.179225,105.788774,25.258215,24,4,8,122,30,1000
20110825,25.428238,5.320086,7.087571,111.006657,19.083783,30,6,8,128,22,1000
20110826,23.059177,1.696285,4.379083,103.816391,25.512231,28,2,5,120,30,1000
20110827,18.061852,2.451415,7.037562,105.912762,18.166139,22,3,8,122,22,1000
20110828,24.827152,5.325596,8.095021,113.679079,26.234338,30,6,9,130,31,1000
20110829,30.298141,0,3.444106,107.27067,23.754406,36,0,4,124,28,1000
20110830,28.474575,5.416809,6.417291,115.288118,14.328279,33,6,7,133,17,1000
20110831,28.783315,2.902301,5.30242,119.427611,20.891587,34,3,6,140,25,1000
20110901,21.121618,7.968609,3.526867,114.579746,16.84127,25,9,4,133,20,1000
20110902,21.882614,2.62608,5.928235,91.406712,32.944576,26,3,7,107,39,1000
20110903,14.866366,0.810496,5.277495,115.785924,23.860139,18,1,6,135,28,1000
20110904,24.918304,4.41178,5.584091,103.582107,23.705927,30,5,6,120,27,1000
20110905,26.025014,7.001546,7.037288,116.620973,29.722959,31,8,8,135,35,1000
20110906,19.367374,3.405778,7.892339,112.384696,20.344695,23,4,9,130,24,1000
20110907,23.520436,7.934844,5.463287,111.420056,20.751532,28,9,6,131,24,1000
20110908,25.165687,6.73651,3.487954,112.029831,19.575942,30,8,4,130,23,1000
20110909,21.24012,8.727899,7.051821,119.464401,15.500065,25,10,8,140,18,1000
20110910,29.940827,5.278554,8.776789,127.473015,20.249775,35,6,10,147,24,1000
20110911,26.588617,6.915548,3.42034,112.698174,27.940416,31,8,4,130,33,1000
20110912,25.381511,8.7087,8.823391,117.888026,22.270184,30,10,10,137,27,1000
20110913,27.868618,2.356154,3.447598,114.760403,18.020087,33,3,4,133,21,1000
20110914,26.51335,2.73116,3.238899,105.537035,20.312061,32,3,4,123,24,1000
20110915,23.791227,6.384369,5.324817,105.120985,23.550579,28,7,6,123,28,1000
20110916,22.365323,0.931034,7.225478,124.504901,21.529256,27,1,8,145,26,1000
20110917,20.720405,2.45963,3.664784,108.94978,19.49159,25,3,4,127,23,1000
20110918,19.705255,9.051956,0.931034,106.163088,25.120276,23,10,1,123,30,1000
20110919,27.343962,2.4758,2.713527,121.821331,22.898883,33,3,3,141,27,1000
20110920,26.549966,4.302229,7.553722,117.238643,26.131201,32,5,9,137,30,1000
20110921,30.126286,2.596982,4.117749,89.42785,19.130006,36,3,5,104,23,1000
20110922,21.443759,4.367211,8.578875,110.496506,23.20007,26,5,10,128,27,1000
20110923,28.882607,5.93165,1.784898,138.780021,14.636931,35,7,2,160,17,1000
20110924,17.077036,4.486487,3.535101,130.043813,20.501776,20,5,4,149,25,1000
20110925,31.584746,3.650245,5.935421,125.826822,24.431407,37,4,7,144,29,1000
20110926,21.074051,5.860705,4.6193,103.745189,27.312526,25,7,5,120,33,1000
20110927,27.011965,4.274481,3.570404,114.041649,21.839476,32,5,4,132,26,1000
20110928,24.464343,5.460914,4.284068,113.490473,22.315798,29,6,5,131,26,1000
20110929,25.148365,5.614429,7.252353,109.782745,22.976697,30,7,8,128,27,1000
20110930,38.196979,4.216814,5.588949,112.210564,17.607147,45,5,6,130,21,1000
20111001,20.014842,2.486311,1.808947,110.850937,15.31411,24,3,2,129,18,1000
20111002,25.80286,5.287001,6.358689,117.849293,22.434655,31,6,7,138,27,1000
20111003,36.490158,3.388428,7.410368,114.009809,18.954087,43,4,9,133,22,1000
20111004,18.301216,2.444805,4.447987,138.129765,23.541638,22,3,5,159,28,1000
20111005,25.899588,3.560306,4.037924,106.373241,25.583321,31,4,5,125,30,1000
20111006,35.928818,1.70658,9.384854,115.793349,29.608273,43,2,11,137,35,1000
20111007,23.257197,3.606385,6.153982,122.641434,18.788705,27,4,7,142,22,1000
20111008,24.916142,3.357526,5.300062,110.373706,13.587254,29,4,6,128,16,1000
20111009,26.067431,3.541628,3.345253,115.546731,24.748247,31,4,4,134,29,1000
20111010,21.145878,3.335583,5.184724,120.108969,24.355048,25,4,6,139,29,1000
20111011,28.024083,7.981568,8.783644,119.283927,27.876211,33,9,10,138,33,1000
20111012,23.447508,3.479764,5.24873,113.376946,25.223626,28,4,6,132,30,1000
20111013,21.563078,1,7.013547,113.343138,20.311642,26,1,8,131,24,1000
20111014,18.805938,6.749678,5.295726,117.879508,16.463498,22,8,6,136,19,1000
20111015,24.110681,7.074181,1.705592,100.382836,22.119272,29,8,2,116,26,1000
20111016,21.868744,3.673236,7.331843,116.986553,24.462047,26,4,8,136,29,1000
20111017,31.900083,4.396885,4.387433,106.711019,26.451017,38,5,5,124,32,1000
20111018,27.13213,1.814495,1.852034,115.257584,25.440377,32,2,2,133,30,1000
20111019,26.172109,6.598368,6.357183,114.246232,18.09575,31,8,7,133,21,1000
20111020,20.016753,5.398798,2.528264,120.724913,26.295639,24,6,3,140,31,1000
20111021,20.843619,2.862068,1.862068,123.833278,19.383732,24,3,2,144,23,1000
20111022,17.694759,3.566696,4.965994,99.656571,17.72069,21,4,6,116,21,1000
20111023,28.484303,2.429099,1.747632,133.138984,26.329121,34,3,2,155,31,1000
20111024,29.485574,5.177381,2.593888,113.386917,25.479919,35,6,3,133,30,1000
20111025,32.494943,7.00762,4.442423,117.220652,19.086716,39,8,5,136,22,1000
20111026,17.712496,6.216244,6.226264,113.36375,25.598161,21,7,7,133,30,1000
20111027,21.726502,5.972066,4.347109,129.34714,20.600604,26,7,5,151,24,1000
20111028,14.521267,1.78725,8.114097,129.924162,24.649162,17,2,9,150,29,1000
20111029,29.281692,3.608428,8.0182,125.260719,20.589521,35,4,9,146,24,1000
20111030,24.494895,5.16764,2.439259,120.247516,19.682075,29,6,3,140,23,1000
20111031,20.081231,1.861677,6.351338,129.360919,30.588717,24,2,7,148,36,1000
20111101,19.925098,1.697505,0.814822,123.724433,25.524139,24,2,1,144,30,1000
20111102,15.312005,2.573048,4.417736,114.615149,23.032025,19,3,5,133,27,1000
20111103,29.234251,8.123099,6.049975,110.71725,20.315163,35,9,7,128,24,1000
20111104,24.88564,4.214861,3.496334,115.891953,20.433482,30,5,4,134,24,1000
20111105,30.55139,5.175918,9.105125,124.963011,28.006768,36,6,10,144,33,1000
20111106,40.668989,3.447525,3.509907,130.176138,25.063729,48,4,4,150,30,1000
20111107,24.789273,3.501546,4.498726,113.709568,24.469175,29,4,5,133,29,1000
20111108,30.346657,5.486463,9.04351,130.179612,15.924148,36,6,10,151,19,1000
20111109,24.309486,5.111174,6.167648,113.264035,22.544646,29,6,7,131,26,1000
20111110,23.211268,2.489258,3.374605,115.205542,17.189437,28,3,4,134,20,1000
20111111,17.390725,5.978141,5.205478,123.587134,16.320077,21,7,6,144,20,1000
20111112,27.584617,6.131777,4.362645,104.803258,16.402922,33,7,5,122,19,1000
20111113,18.537626,8.661898,3.760473,106.219963,24.424039,22,10,4,125,29,1000
20111114,30.626451,5.121358,6.33145,131.806419,19.620488,37,6,7,153,23,1000
20111115,21.456815,4.344051,5.383606,95.286306,23.844335,25,5,6,110,28,1000
20111116,30.381299,4.503845,6.296572,132.234689,22.847823,36,5,7,153,27,1000
20111117,31.547865,2.561404,6.817825,118.363735,16.004118,37,3,8,138,19,1000
20111118,18.923254,1.778672,2.613961,121.493796,20.505653,23,2,3,142,24,1000
20111119,29.878625,6.369456,10.769567,125.895627,27.403595,35,7,12,147,32,1000
20111120,26.64679,5.311077,5.908245,137.342896,17.272293,32,6,7,158,20,1000
20111121,29.112732,4.203355,4.482947,111.099364,22.538701,34,5,5,129,26,1000
20111122,22.995065,2.460744,3.5603,107.13317,26.605139,27,3,4,124,32,1000
20111123,24.69257,4.532551,6.351107,115.054232,22.496123,29,5,7,133,26,1000
20111124,21.946728,5.309129,5.099593,199.36856,25.394247,26,6,6,225,30,1000
20111125,22.854181,6.398441,6.909068,114.542612,28.940148,27,7,8,134,34,1000
20111126,23.638447,5.177821,3.642426,118.522354,23.184729,28,6,4,137,27,1000
20111127,32.552673,7.286041,9.128106,114.556413,26.113074,38,8,10,134,30,1000
20111128,28.999358,7.416022,6.3799,113.238895,22.297065,34,8,7,131,26,1000
20111129,21.04439,3.505706,5.214201,113.365292,23.522376,25,4,6,131,28,1000
20111130,23.113537,5.11621,7.73467,126.133797,19.339668,27,6,9,148,23,1000
20111201,27.325416,4.831878,4.943516,103.137474,21.22298,33,6,6,119,25,1000
20111202,22.917142,5.237834,0.832718,128.014299,26.232052,27,6,1,147,31,1000
20111203,26.372753,6.258252,6.257212,124.116672,27.579594,31,7,7,145,33,1000
20111204,25.360093,4.000321,7.14392,124.211406,20.484155,30,5,8,143,24,1000
20111205,31.880384,6.001692,2.660233,113.141082,32.47737,38,7,3,131,38,1000
20111206,22.997865,5.235339,4.369498,117.882145,20.56811,27,6,5,137,24,1000
20111207,26.111346,6.34179,10.370777,122.228639,27.74666,31,7,12,141,33,1000
20111208,29.312561,4.407778,7.999594,122.663387,28.317225,35,5,9,141,33,1000
20111209,21.32119,1.800522,5.961357,133.970752,15.236472,25,2,7,154,18,1000
20111210,24.372606,6.233919,6.292205,138.053638,27.121406,29,7,7,160,32,1000
