year,month,day,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,close,open,high,low,change
2011,12,30,24.653268,3.5330480000000004,4.213564,140.339218,14.818638,29,4,5,161,18,12217.56,12286.13,12290.06,12213.78,-0.57
2012,01,03,22.805039,3.478832,3.6592010000000004,108.833628,25.264316,27,4,4,126,30,12397.38,12221.19,12479.65,12221.19,0.0147
2012,01,04,34.806397,7.328574000000001,8.786356,131.080581,24.871292,41,8,10,152,29,12418.42,12392.46,12430.0,12337.25,0.0017
2012,01,05,17.847744,5.449288,3.5051910000000004,109.138906,29.766115000000003,21,6,4,127,35,12415.7,12418.42,12435.98,12283.9,-0.02
2012,01,06,29.359963,3.708885,5.479153,120.59331399999999,24.539846,35,4,6,139,29,12359.92,12407.45,12415.24,12332.41,-0.45
2012,01,09,35.788084000000005,6.140084,1.777802,117.079581,24.270961,43,7,2,136,29,12392.69,12359.31,12409.08,12333.85,0.0027
2012,01,10,25.051614,2.627405,7.020466000000001,103.40256600000001,25.210877,30,3,8,120,30,12462.47,12394.51,12514.69,12394.51,0.0056
2012,01,11,25.305734,5.15602,2.494872,104.775245,30.857196000000002,30,6,3,122,37,12449.45,12459.52,12462.58,12399.01,-0.1
2012,01,12,28.381557,1.542864,4.250921,121.297527,24.768716,34,2,5,141,29,12471.02,12449.91,12483.7,12385.08,0.0017
2012,01,13,21.203747,6.0997639999999995,3.5690910000000002,117.173341,17.079583,25,7,4,136,21,12422.06,12469.96,12470.12,12311.79,-0.39
2012,01,17,31.044232,2.693165,6.088223,108.738223,27.117139,37,3,7,127,32,12482.07,12423.12,12573.65,12423.12,0.0048
2012,01,18,31.076151,7.046196000000001,6.17039,109.641202,26.237982000000002,37,8,7,125,31,12578.95,12474.69,12582.28,12453.2,0.0078
2012,01,19,15.970139999999999,3.641989,1.8494529999999998,123.74543500000001,16.997021,19,4,2,143,20,12623.98,12578.19,12625.8,12563.58,0.0036
2012,01,20,33.120734999999996,4.479835,7.232055,126.08298500000001,33.275191,39,5,8,145,39,12720.48,12623.83,12720.48,12620.76,0.0076
2012,01,23,28.683111,1.567596,5.900962,123.669044,17.562661,34,2,7,144,21,12708.82,12720.25,12764.49,12665.83,-0.09
2012,01,24,31.737014000000002,7.784704,4.522301000000001,108.02581399999998,29.205026,38,9,5,125,34,12675.75,12708.37,12708.52,12613.54,-0.26
2012,01,25,20.053105,5.078519,6.129188,131.685857,28.658596999999997,24,6,7,154,34,12756.96,12673.63,12778.26,12580.12,0.0064
2012,01,26,25.950526,4.548421,6.533158,115.428294,30.066659,31,5,7,135,35,12734.63,12757.33,12841.95,12695.16,-0.18
2012,01,27,24.42718,5.1816379999999995,1.698954,131.966318,27.195771,29,6,2,152,32,12660.46,12733.95,12733.95,12630.72,-0.58
2012,01,30,21.416429,2.556723,3.4830730000000005,120.48766100000002,28.635677,26,3,4,138,34,12653.72,12659.17,12659.32,12529.41,-0.05
2012,01,31,21.808106,5.338321,6.428821,124.109048,24.91584,26,6,7,144,30,12632.91,12654.78,12720.1,12567.33,-0.16
2012,02,01,28.978031,7.7158940000000005,1.649173,127.446474,26.815046999999996,35,9,2,149,32,12716.46,12632.76,12784.62,12632.76,0.0066
2012,02,02,31.362216999999998,2.456674,1.862068,105.535793,22.225545,37,3,2,122,26,12705.41,12716.54,12741.89,12676.05,-0.09
2012,02,03,20.959661999999998,1.688177,6.997016,117.79699,21.365804,25,2,8,137,26,12862.23,12705.04,12869.95,12704.96,0.0123
2012,02,06,24.814392,2.614071,1.68803,124.42861200000002,35.484081,30,3,2,143,42,12845.13,12860.72,12860.79,12793.43,-0.13
2012,02,07,31.043306,3.636989,3.266825,133.25528500000001,21.651595,37,4,4,154,26,12878.2,12844.37,12903.71,12782.57,0.0026
2012,02,08,20.127503,3.549671,7.174795,126.795748,29.073959000000002,24,4,8,147,34,12883.95,12865.79,12893.64,12817.69,0.0004
2012,02,09,31.992171999999997,6.994988,4.240882,104.547155,29.64847,38,8,5,120,35,12890.46,12884.41,12924.71,12846.41,0.0005
2012,02,10,35.470040999999995,4.437037,3.5502029999999998,119.62991699999999,20.862393,43,5,4,139,25,12801.23,12889.55,12889.63,12743.56,-0.69
2012,02,13,25.213798,5.155226,2.516981,128.37868,19.450795,30,6,3,148,23,12874.04,12799.11,12887.93,12799.11,0.0057
2012,02,14,18.289856,4.4490989999999995,0.0,177.54863999999998,15.666601000000002,22,5,0,202,19,12878.28,12871.77,12878.88,12786.93,0.0003
2012,02,15,29.19698,2.6319999999999997,7.032532000000001,124.774084,21.351132,34,3,8,143,25,12780.95,12864.65,12899.47,12753.62,-0.76
2012,02,16,23.266291,4.208517,5.352725,122.961072,23.062831,28,5,6,142,27,12904.08,12779.81,12914.0,12779.58,0.0096
2012,02,17,18.479891000000002,5.989935,4.390892,135.35296100000002,25.002063,22,7,5,157,29,12949.87,12903.33,12967.92,12903.25,0.0035
2012,02,21,18.823067,5.799899,10.581572,105.789561,28.866089000000002,22,7,12,122,34,12965.69,12949.34,13005.04,12926.11,0.0012
2012,02,22,20.941264,4.435830999999999,7.086281,109.39399999999999,21.141666,25,5,8,125,25,12938.67,12966.22,12977.91,12914.83,-0.21
2012,02,23,28.627755,2.631893,7.015644,129.955438,27.663216,34,3,8,150,33,12984.69,12937.08,12996.08,12882.67,0.0036
2012,02,24,24.236310999999997,2.6141669999999997,5.260697,134.876033,17.578538,29,3,6,154,21,12982.95,12981.2,13013.82,12950.59,-0.01
2012,02,27,34.814215000000004,7.7741,2.797243,135.150207,18.699607,42,9,3,157,22,12981.51,12981.13,13027.52,12882.59,-0.01
2012,02,28,27.002584999999996,4.341475,7.982888000000001,120.579811,29.951865,32,5,9,141,36,13005.12,12976.74,13021.51,12952.82,0.0018
2012,02,29,26.239984999999997,11.157424,7.182672,125.89979299999999,28.941714,31,13,8,147,34,12952.07,13005.42,13055.75,12929.66,-0.41
2012,03,01,26.228957,5.2309730000000005,2.6602330000000003,135.57032900000002,24.346601999999997,31,6,3,155,29,12980.3,12952.29,13032.67,12943.06,0.0022
2012,03,02,25.857146,4.4230410000000004,3.380903,137.196842,24.382398000000002,31,5,4,158,28,12977.57,12980.75,12997.51,12927.77,-0.02
2012,03,05,25.306898,4.310706,6.379105,109.772985,22.241672,30,5,7,126,27,12962.81,12977.34,12977.34,12883.91,-0.11
2012,03,06,28.037653000000002,6.297719,2.9228009999999998,120.94671699999999,17.621044,34,7,3,139,21,12759.15,12958.65,12958.73,12734.86,-1.57
2012,03,07,34.577028999999996,2.7600849999999997,6.945933,126.153966,22.35226,41,3,8,146,26,12837.33,12756.12,12857.73,12751.51,0.0061
2012,03,08,24.225429000000002,3.449044,7.085255,129.249683,22.991607000000002,29,4,8,149,27,12907.94,12835.53,12937.19,12835.53,0.0055
2012,03,09,26.682278000000004,2.519724,4.229929,122.708826,33.867536,32,3,5,142,40,12922.02,12908.62,12968.79,12906.43,0.0011
2012,03,12,21.23457,7.019267,4.542897,137.112294,25.403674,25,8,5,160,30,12959.71,12920.58,12976.36,12919.98,0.0029
2012,03,13,24.298623000000003,2.595438,6.310518,113.882159,23.431345999999998,29,3,7,132,28,13177.68,12953.2,13180.4,12953.13,0.0168
2012,03,14,25.142692,3.45762,1.7040389999999999,125.870782,18.385346,30,4,2,147,22,13194.1,13177.15,13221.27,13166.25,0.0012
2012,03,15,28.318101000000002,3.5705720000000003,8.404015,115.35506799999999,18.207479,34,4,10,134,22,13252.76,13192.97,13253.51,13170.19,0.0044
2012,03,16,21.628631,6.297389,6.2553790000000005,118.68773799999998,29.444591,26,7,7,137,35,13232.62,13253.51,13289.08,13231.45,-0.15
2012,03,19,20.591722,4.277546,8.754392,123.18432299999999,20.988201,24,5,10,143,25,13239.13,13231.94,13269.71,13208.63,0.0005
2012,03,20,23.148663,5.278708999999999,1.8454990000000002,116.47133799999999,26.206801000000002,28,6,2,135,31,13170.19,13238.45,13238.45,13123.38,-0.52
2012,03,21,26.895638,3.5777949999999996,0.785099,141.15221100000002,22.068168,32,4,1,164,26,13124.62,13170.79,13190.02,13112.93,-0.35
2012,03,22,23.439347,4.9182879999999995,3.5229199999999996,122.428385,21.042552,28,6,4,142,25,13046.14,13124.4,13124.47,13017.42,-0.6
2012,03,23,37.125267,7.089733,6.285197,113.776052,21.754716000000002,44,8,7,131,26,13080.73,13045.99,13099.91,13002.77,0.0027
2012,03,26,21.94219,6.1942010000000005,7.036405,114.511896,22.025012,26,7,8,133,26,13241.63,13082.62,13243.86,13082.39,0.0123
2012,03,27,29.219206,7.054686,3.556139,115.091722,22.824048,35,8,4,133,27,13197.73,13242.09,13264.98,13194.33,-0.33
2012,03,28,22.223078,6.843507000000001,6.978501,124.833886,26.297413,26,8,8,144,31,13126.21,13195.39,13212.64,13069.26,-0.54
2012,03,29,18.395798000000003,3.45683,7.944016,131.447048,22.902226000000002,22,4,9,152,27,13145.82,13125.99,13151.57,13032.67,0.0015
2012,03,30,26.095968,3.436575,7.6900070000000005,119.555869,24.106576,31,4,9,138,28,13212.04,13147.94,13224.49,13147.78,0.005
2012,04,02,29.984646,4.344675,1.8271959999999998,119.010157,27.566924,36,5,2,139,32,13264.49,13211.36,13297.11,13153.69,0.004
2012,04,03,26.276690000000002,6.038588,4.4613309999999995,115.93781200000001,26.071391000000002,31,7,5,134,31,13199.55,13258.96,13265.36,13131.21,-0.49
2012,04,04,24.068981,5.195997,5.24129,127.687041,25.997414000000003,28,6,6,148,31,13074.75,13198.19,13198.19,13020.86,-0.95
2012,04,05,21.837635000000002,5.084533,6.070611,127.19089299999999,23.97271,26,6,7,147,28,13060.14,13067.18,13088.11,13012.46,-0.11
2012,04,09,30.327187,6.146026,5.394774,123.977893,21.213783,36,7,6,145,25,12929.59,13057.57,13057.72,12903.78,-10.0
2012,04,10,23.506464,3.649232,5.408869999999999,109.493626,23.313360999999997,28,4,6,126,27,12715.93,12929.44,12929.59,12710.56,-1.65
2012,04,11,20.945120000000003,3.320094,7.0364,107.534957,22.257275,25,4,8,124,26,12805.39,12716.92,12844.82,12716.92,0.006999999999999999
2012,04,12,27.891977,4.480935,3.376996,129.968016,30.816444,33,5,4,151,36,12986.58,12806.45,12986.96,12806.3,0.0141
2012,04,13,17.875788,3.509581,4.360137,139.991757,19.310437,21,4,5,163,23,12849.59,12986.2,12986.35,12845.28,-1.05
2012,04,16,34.707803000000006,3.5021760000000004,1.694475,120.464196,15.189704999999998,41,4,2,141,18,12921.41,12850.88,12986.77,12850.8,0.0056
2012,04,17,24.42197,3.469702,3.560688,122.29607299999999,24.178492000000002,29,4,4,141,28,13115.54,12921.79,13131.36,12921.79,0.015
2012,04,18,32.517815999999996,4.156189,4.423936,115.91965800000001,19.945701,39,5,5,135,24,13032.75,13114.56,13114.56,13027.49,-0.63
2012,04,19,29.611527000000002,5.369837,8.010866,134.650665,23.915207000000002,35,6,9,155,28,12964.1,13028.73,13080.2,12896.82,-0.53
2012,04,20,26.275862,2.679461,7.843736,115.95818500000001,21.513338,31,3,9,135,25,13029.26,12964.48,13082.54,12964.25,0.005
