노선번호,기점,경유지,종점,첫차 출발시간(기점/종점),막차 출발시간(기점/종점),운행간격(분),운행시간(분),운행거리(km),면허대수(대),운행회수(회),비고
45,월미도,"GS칼텍스, 선창산업(반환시 : 월미도, 월해사, 풍물시장, 해사고, 갑문, 월미공원) 인천역, 송월동, 화도진공원, 동인천역, 신흥R, 숭의R, 독정이고개, 용일4, 인고4, 길병원, 시청, 올리브아울렛, 간석5, 부평3, 동수4, 쌍굴다리, 부평역, 부평시장R, 개선문예식장, 부평구청역(우회)",신복사거리,05:00/05:00,23:00/23:00,6,196,44.8,36,198,동화운수
46,청라국제도시역,"서부산업단지, 한라비발디, 중흥S클레스, 청라고등학교, 루원시티, 강남시장, 원적산터널, 부평경찰서, 부평역, 인천예림학교, 간석사거리, 모래내시장, 하이웨이주유소, 남동등기소, 작은구월사거리, 구월아시아드6단지, 신세계백화점, 문학경기장, 학익고등학교, 장미아파트, 옹진구청, 신선초등학교, 중구문화회관",신흥동차고지,05:20/05:20,22:20/22:20,11,337,80.1,30,90,신흥교통
60-2,화도터미널,"마니산입구, 문산교회앞, 덕포리, 선두1리, 온수전화국, 강화공설운동장, 대명초교, 대곳사거리, 양곡",솔터입구(김포시),05:00/05:50,21:50/23:00,40,120,49,3,25,강화선진버스
62,서창2지구,"서창2휴먼시아,서창동주민센터,태평2차아파트, 장수동, 남동초교, 남동구청, 건설기술교육원, 만수삼거리, 간석사거리, 새인천병원, 간석오거리, 도화여중, 제물포역, 인천대, 박문여고, 동산고, 복음의원, 송현시장",동인천역,05:10/05:10,23:10/23:10,9,173,38.48,22,137,삼환교통
63,가좌동차고지,"가좌환경사업소, 산업용품센터, 이마트송림점, 송림4동주민센터, 서림초등학교, 제물포역, 도화초교, 주안역(고려예식장), 석바위, 제물포여자중학교, 관교여자중학교, 문학경기장(박태환수영장), 선학역, 연수초등학교, 연수주공3차아파트, 연수구청, 동막초등학교",동춘동종점,05:00/05:00,23:00/23:00,15,153,36.03,12,84,삼환교통
65,동춘동 종점,"동춘2동주민센터, 동막역, 유수지근린공원, 남동대교, 가천의과학대학교, 청학중학교, 청학사거리, 신기.남부종합시장, (구)시민회관사거리",주안역환승정류장,04:20/05:10,22:50/23:40,21,128,32.3,7,60,도영운수
65-1,동춘동 종점,"동춘2동주민센터, 연수구청입구, 여성의광장, 송도라마다호텔, 인천해양과학고, 우성아파트, 축현초등학교, 송도재래시장, 신동아3차아파트, 신기시장, 재흥시장, 교보생명",주안역환승정류장,04:20/05:10,23:00/23:50,19,137,29.9,8,65,도영운수
66,진웅 종점,"영은슈퍼(상행만추가), 공단사거리, 검단오류역, 단봉초등학교, 검단4거리, 마전역,  검암역입구, 경서동입구, 심곡어린이도서관(하행선 삭제), 심곡초, 공촌마을, 신동양아파트, 작전역, 계양CGV, 임학역, 김포공항국제선",송정역,04:30/05:00,22:40/23:50,18,245,81.46,16,71,신동아교통
68,동춘동 종점,"동춘2동주민센터, 동아금호아파트, 동춘역, ㈜창원, LG물류센터, 집단에너지, 논현7단지새터마을, 청능로사거리, 논현9단지냇마을",소래마을,04:20/05:00,22:50/23:15,26,109,24.6,5,50,도영운수
67-1,가좌동차고지,"가좌공단, 가좌환경사업소, 산업용품센터, 인천의료원, 가좌고등학교, 명신여자고등학교, 산곡동입구(롯데마트), 부평경찰서, 부평구청역, 한국지엠, 갈산역, 신트리공원, 굴포천역, 오성아파트, 부개주공3단지, 부개여자고등학교",부개역,05:00/05:00,23:00/23:00,21,178,34.8,10,60,세운교통
70,강화터미널,"찬우물약수터, 불은면주민센터(농협), 전등사동문, 초지대교, 대곶면사무소사거리, 솔터마을입구, 검단하나아파트, 마전초등학교, 백석동태평아파트, 검암사거리, 골프장입구, 태평아파트1차, 경서초등학교",청라차고지,5:20,22:20,40,323,111,8,25,강화선진버스
72,한양수자인,"혜원중학교후문, 한일베라체, 상록힐스테이트, 중흥S클래스 2차,청라자이, 방죽삼거리, 송림시장, 동인천역, 제2국제여객터미널, 인하대병원, 옹진군청, 윤성아파트(인항고교), 용현시장, 숭의2동주민센터, 남구청입구, 용정초등학교",동춘동종점,4:50,23:00,14,258,54.4,17,71,선진여객
76,마전풍림아이원,"마전지구1, 마전고등학교, 검단초등학교, 검단2동주민센터, 불로중학교, 원당중학교, 경문직업전문학교, 계양1동주민자치센터, 동양도서관, 당산초등학교, 박촌역, 청소년수련관, 병방초등학교, 임학역, 계양도서관, 계산역, 경인교대입구, 계양구의회",작전역,05:00/06:00,23:00/24:00,30,176,47,7,42,인천선진교통
78,마전풍림아이원,"검단고등학교, 검단1주민센터, 완정초등학교, 인천보은병원, 당하초등학교, 당하푸르지오, 원당사거리, 서구영어마을, 유현사거리, 장기동, 개화파출소",송정역,05:00/05:50,23:20/24:30,19,156,48.41,10,70,인천제물포교통
79,수도권매립지정문앞,"경인특장, 안동포사거리, 검단오류공단, 영은슈퍼, 검단오류역, 공장단지입구, 당하탑스빌, 백석중고등학교, 서구국민체육센터, 검암중학교, 검암경서동주민센터, 간재울초등학교, 인천서부교육청, 교통연수원, 계산역, 계양구청, 이마트, 삼산중학교, 삼산월드체육관, 부평디자인과학고등학교, 부평동중",부개역환승정류장,04:30/05:10,22:20/23:40,17,265,67.5,16,64,삼환교통
80,서구청소년수련관(원창동),"효성소방파출소, 효성남초교, 작전역, 계산역, 서운동입구, 내동사거리, 삼정사거리, 현대백화점, 부명고.순천향대학병원, 상도중학교",송내역북부,05:00/05:20,23:15/24:00,9,212,45.42,26,134,선진여객
81,석남동차고지,"엠파크타워, 송림고가교, 인천교삼거리, 주안역, 재흥시장, 신동아아파트, 연수역, 동막역, 캠퍼스타운역, 글로벌캠퍼스, 인천대학교",복합환승센터(투모로시티),5:00,22:30,19,229,62.7,14,64,영풍운수
82,석남동차고지,"현대제철, 송림오거리, 제물포역, 도화오거리, 주안역, 간석남부역, 간석오거리역, 길병원, 신세계백화점(터미널), 인명여고, 청학사거리, 국제학교, 인천카톨릭대, 지식정보단지역,  인천대학교",복합환승센터(투모로시티),5:00,22:30,20,235,64.1,14,62,영풍운수
87,계양대교,"장기동, 장기119안전센터, 계양역, 동양도서관, 박촌역, 임학역, 계양구청, 계산공고, 이마트, 신복사거리, 영상단지, 현대백화점, 부명고.순천향대학병원, 상도중학교",송내역북부,05:00/05:10,23:20/24:00,10,192,40.43,21,120,선진여객
111-2,동춘동 종점,"옥련동, 인하대앞, 법원앞, 종합터미널, 길병원, 인천시청, 백운역, 부평역, 부평구청, 갈산2동, 갈산주공2차아파트, 삼산주공, 계양경찰서, 계산역, 서부공단",국립생물자원관,05:10/05:30,22:30/22:40,12,275,74.09,26,98,미래교통
112,십정동(강인여객),"선린감리교회, 인천세무고. 상정고, 백운공원(부평아트센터), 2001아울렛, 부평역, 부평시장, 부평구청, 부평경찰서, 원적산터널입구, 송현시장, 동인천역, 옥련여고입구, 옥련동주민센터, 가천의과대학교, 연수구청, 동막역(3번출구)",동춘동종점,05:00/05:00,22:00/22:00,14,265,65.3,21,80,청라교통
202,석남동차고지,"방죽삼거리, 신현초등학교, 신현쇼핑, 가정역(루원시티), 청라서해그랑블, 청라힐스테이트, 반도유보라, 한국가스공사, 청라달튼국제학교, 청라국제도시역(영종대교), 영종역, 운남교차로, 중촌교차로, 우미린, 힐스테이트, 신명스카이뷰, 금홍염전, 화물터미널, 인천국제공항",인천공항주차장,05:00/05:10,22:15/22:15,13,258,113,20,80,영풍운수
203,영종선착장,"송산입구, 한라비발디, 휠스테이트, 신명스카이뷰, LH7단지, 한양수자인, 돌팍재삼거리, 중산동, 영종동주민센터, 전소, 영종국제물류고, 영종중학교, 운남동, 넙디, 운서역, 인천공항고등학교(공항중학교)",인천국제공항,05:00/05:20,22:40/22:40,14,164,60.1,12,76,영풍운수
204,운서역,"풍림아파트, 삼목선착장, 왕산해수욕장, 을왕리해수욕장, 선녀바위유원지, 마시란해변",거잠포회센터(용유역),05:00/06:00,21:20/22:20,60,120,45.8,2,16,영풍운수
222,인천국제공항,"하얏트호텔, 거잠포회센터<222A : 원창동차고지~인천국제공항 1회 별도 운행, 222B : 인천국제공항~무의도 입구 2회 별도 운행>",잠진도,07:20/07:40,19:20/19:40,70,55,19.35,1,13,영풍운수
223,영종역,"하늘도시우미린8단지, 한양수자인, LH7단지, 금홍염전, 운서역, 공항신도시, 주공12단지, 주거단지, 풍림아파트<223A : 율도선착장입구~인천국제공항 2회 별도 운행>",인천국제공항,05:00/05:50,22:30/23:20,21,144,57.55,8,58,강인여객
700-1,강화터미널,"창리, 세광아파트, 양도, 선두1리, 온수리, 초지진, 초지대교, 대곶, 율생리입구, 양곡, 복합환승센터 한가람솔터마을, 검단사거리, 공촌사거리, 석남동, 동암역, 길병원",종합터미널역,05:20/05:40,22:00/22:20,43,396,154.3,10,25,강화선진버스
721,가좌동차고,"서해자동차,서구문화회관,신영자동차,이마트,부평구청,부평역,벽산이삭아파트,만수초",남동중,05:00/05:00,23:00/23:00,11,191,50.1,18,100,시영운수
754,소래포구역 종점,"도림주공, 담방마을, 남동구청, 인천시청앞, 종합문화예술회관역, 종합터미널, 구월농산물도매시장, 선학역, 신연수역, 논곡초교",논현지구(주공10단지),05:20/05:30,22:55/22:55,14,170,44.2,13,78,하이버스
760,태양여객차고지,"삼산농산물시장, 미래타운5단지, 삼산주공2단지, 서해그랑블(정문), 진산중학교, 삼산주공6단지, 삼산월드체육관, 부개주공1단지, 부개주공2,3,5단지, 부개여고, 부평동중, 동수역, 부개역, 백운역, 갈산역, 미래타운2단지",태양여객차고지,5:30,23:30,10,70,17.3,8,88,태양여객
760-1,태양여객차고지,"삼산농산물시장, 미래타운5단지, 삼산주공2단지, 서해그랑블(정문), 진산중학교, 삼산주공6단지, 삼산월드체육관, 부개주공1단지, 부개주공2,3,5단지, 부개여고, 부평동중, 동수역, 부개역, 백운역, 갈산역, 미래타운3단지",태양여객차고지,5:30,23:30,10,70,17.3,8,88,태양여객
770-1,오조산공원,"계양경찰서, 한림병원, 작전역, 동아아파트, 현대2차, 미도아파트",북인천여중,5:30,23:30,14,60,17.2,8,88,태양여객
